Liga,Zespół_1,Zespół_2,1,0,2,10,02,12,Data,Wygrany,Bramki_1,Bramki_2
liga-mistrzow,Man.United,Galatasaray,1.46,4.9,6.6,1.12,2.81,1.2,03.10. 21:00,2.0,2.0,3.0
liga-mistrzow,FC Kopenhaga,Bayern M.,12.0,7.2,1.22,4.5,1.04,1.11,03.10. 21:00,2.0,1.0,2.0
liga-mistrzow,Napoli,Real M.,2.6,3.65,2.6,1.52,1.52,1.3,03.10. 21:00,2.0,2.0,3.0
liga-mistrzow,Antwerp,S.Donieck,1.88,3.75,4.2,1.25,1.98,1.3,04.10. 18:45,2.0,2.0,3.0
liga-mistrzow,Atl. Madryt,Feyenoord,1.67,4.1,5.0,1.19,2.25,1.25,04.10. 18:45,1.0,3.0,2.0
liga-mistrzow,Newcastle,PSG,2.55,3.65,2.65,1.5,1.54,1.3,04.10. 21:00,1.0,4.0,1.0
liga-mistrzow,FC Porto,Barcelona,4.2,3.9,1.84,2.02,1.25,1.28,04.10. 21:00,2.0,0.0,1.0
liga-mistrzow,Leipzig,Man.City,4.6,4.1,1.74,2.17,1.22,1.26,04.10. 21:00,2.0,1.0,3.0
liga-mistrzow,Dortmund,AC Milan,2.4,3.55,2.9,1.43,1.6,1.31,04.10. 21:00,0.0,0.0,0.0
liga-mistrzow,Celtic,Lazio,2.95,3.5,2.41,1.6,1.43,1.33,04.10. 21:00,2.0,1.0,2.0
liga-mistrzow,CZ Belgrad,YB Bern,2.11,3.65,3.4,1.34,1.76,1.3,04.10. 21:00,0.0,2.0,2.0
liga-europy,Hacken,FK Karabach,2.6,3.6,2.7,1.51,1.54,1.32,05.10. 21:00,2.0,0.0,1.0
liga-europy,Toulouse,LASK,1.8,3.9,4.4,1.23,2.07,1.27,05.10. 21:00,1.0,1.0,0.0
liga-europy,AS Roma,Servette,1.33,5.6,9.6,1.07,3.55,1.16,05.10. 21:00,1.0,4.0,0.0
liga-europy,Villarreal,Rennes,2.37,3.65,2.95,1.44,1.63,1.31,05.10. 21:00,1.0,1.0,0.0
liga-europy,Slavia P.,Sheriff Tiraspol,1.41,5.0,7.8,1.09,3.05,1.19,05.10. 21:00,1.0,6.0,0.0
liga-europy,Mac.Haifa,Panathinaikos,2.41,3.4,3.0,1.41,1.59,1.34,05.10. 21:00,0.0,0.0,0.0
liga-europy,Molde,Leverkusen,6.6,4.9,1.48,2.81,1.14,1.21,05.10. 21:00,2.0,1.0,2.0
liga-europy,Liverpool,St.Gilloise,1.25,6.8,10.5,1.06,4.15,1.12,05.10. 21:00,1.0,2.0,0.0
1-niemcy,M gladbach,Mainz,2.07,3.85,3.35,1.35,1.8,1.28,06.10. 20:30,0.0,2.0,2.0
1-belgia,Charleroi,Molenbeek,1.9,3.7,3.8,1.25,1.87,1.26,06.10. 20:45,1.0,2.0,1.0
1-francja,Strasbourg,Nantes,2.2,3.4,3.45,1.34,1.71,1.34,06.10. 21:00,2.0,1.0,2.0
1-hiszpania,Bilbao,Almeria,1.41,5.0,7.6,1.1,3.0,1.19,06.10. 21:00,1.0,3.0,0.0
1-holandia,FC Volendam,Utrecht,4.1,4.1,1.74,2.05,1.22,1.22,06.10. 20:00,1.0,1.0,0.0
1-portugalia,Moreirense FC,Boavista FC,2.2,3.45,3.15,1.34,1.65,1.3,06.10. 21:15,0.0,1.0,1.0
1-niemcy,Dortmund,Un. Berlin,1.71,4.2,4.8,1.22,2.24,1.26,07.10. 15:30,1.0,4.0,2.0
1-niemcy,Leipzig,Bochum,1.28,6.6,10.0,1.07,4.0,1.13,07.10. 15:30,0.0,0.0,0.0
1-niemcy,Augsburg,Darmstadt 98,1.83,3.95,4.3,1.25,2.06,1.28,07.10. 15:30,2.0,1.0,2.0
1-niemcy,VFB Stuttgart,Wolfsburg,1.98,3.85,3.8,1.31,1.91,1.3,07.10. 15:30,1.0,3.0,1.0
1-niemcy,Werder B.,Hoffenheim,2.5,3.9,2.65,1.52,1.58,1.29,07.10. 18:30,2.0,2.0,3.0
1-anglia,Luton Town,Tottenham,6.6,5.2,1.45,2.91,1.13,1.19,07.10. 13:30,2.0,0.0,1.0
1-anglia,Fulham,Sheffield Utd.,1.54,4.4,6.4,1.14,2.61,1.24,07.10. 16:00,1.0,3.0,1.0
1-anglia,Man.United,Brentford,1.73,4.2,4.7,1.23,2.22,1.26,07.10. 16:00,1.0,2.0,1.0
1-anglia,Burnley,Chelsea,4.7,3.95,1.78,2.15,1.23,1.29,07.10. 16:00,2.0,1.0,4.0
1-anglia,Everton,Bournemouth,1.92,3.85,4.0,1.28,1.96,1.3,07.10. 16:00,1.0,3.0,0.0
1-anglia,Crystal Palace,Nottingham,2.47,3.2,3.2,1.39,1.6,1.39,07.10. 18:30,0.0,0.0,0.0
1-belgia,Cercle Brugge,Leuven,1.55,4.6,5.2,1.16,2.44,1.19,07.10. 16:00,1.0,3.0,2.0
1-belgia,Westerlo,Kortrijk,1.9,3.95,3.7,1.28,1.91,1.26,07.10. 18:15,1.0,1.0,0.0
1-belgia,Anderlecht,Mechelen,1.73,4.1,4.4,1.22,2.12,1.24,07.10. 20:45,1.0,3.0,1.0
1-francja,Metz,Nice,6.0,4.0,1.63,2.4,1.16,1.28,07.10. 17:00,2.0,0.0,1.0
1-francja,Reims,Monaco,2.65,3.65,2.65,1.54,1.54,1.33,07.10. 21:00,2.0,1.0,3.0
1-hiszpania,Cadiz,Girona,3.25,3.45,2.25,1.67,1.36,1.33,07.10. 14:00,2.0,0.0,1.0
1-hiszpania,Real M.,Osasuna,1.34,5.8,9.4,1.08,3.6,1.17,07.10. 16:15,1.0,4.0,0.0
1-hiszpania,Mallorca,Valencia,2.55,3.0,3.3,1.38,1.57,1.44,07.10. 18:30,0.0,1.0,1.0
1-hiszpania,FC Sevilla,Vallecano,1.78,3.8,4.6,1.21,2.08,1.28,07.10. 21:00,0.0,2.0,2.0
1-holandia,Heerenveen,Nijmegen,2.12,3.55,3.4,1.33,1.74,1.31,07.10. 16:30,0.0,1.0,1.0
1-holandia,Almere City,Waalwijk,2.34,3.7,2.85,1.43,1.61,1.28,07.10. 18:45,1.0,1.0,0.0
1-holandia,G.A.Eagles,Heracles,1.82,3.95,4.1,1.25,2.01,1.26,07.10. 20:00,1.0,4.0,0.0
1-holandia,Vitesse Arnhem,SBV Excelsior,1.75,4.1,4.2,1.23,2.07,1.24,07.10. 21:00,0.0,0.0,0.0
1-portugalia,Farense,FC Vizela,2.27,3.4,3.15,1.36,1.64,1.32,07.10. 16:30,0.0,0.0,0.0
1-portugalia,Chaves,Gil Vicente FC,2.65,3.4,2.6,1.49,1.47,1.31,07.10. 16:30,1.0,4.0,2.0
1-portugalia,SC Braga,Rio Ave,1.31,5.6,9.2,1.06,3.5,1.15,07.10. 19:00,1.0,2.0,1.0
1-portugalia,Estoril Praia,SL Benfica,8.8,5.8,1.3,3.5,1.06,1.13,07.10. 21:30,2.0,0.0,1.0
1-niemcy,Leverkusen,1.FC Koln,1.32,6.0,9.0,1.08,3.6,1.15,08.10. 15:30,1.0,3.0,0.0
1-niemcy,Bayern M.,Freiburg,1.15,9.0,16.0,1.02,5.8,1.07,08.10. 17:30,1.0,3.0,0.0
1-niemcy,Eint.Frankfurt,Heidenheim,1.82,3.95,4.2,1.25,2.04,1.27,08.10. 19:30,1.0,2.0,0.0
1-anglia,Wolverhampton,Aston Villa,3.4,3.65,2.12,1.76,1.34,1.31,08.10. 15:00,0.0,1.0,1.0
1-anglia,West Ham,Newcastle,3.4,3.75,2.1,1.78,1.34,1.29,08.10. 15:00,0.0,2.0,2.0
1-anglia,Brighton,Liverpool,3.15,4.0,2.1,1.76,1.38,1.26,08.10. 15:00,0.0,2.0,2.0
1-anglia,Arsenal,Man.City,2.9,3.45,2.46,1.58,1.44,1.33,08.10. 17:30,1.0,1.0,0.0
1-belgia,St.Liege,Club Brugge,4.6,4.0,1.68,2.14,1.18,1.23,08.10. 13:30,1.0,2.0,1.0
1-belgia,Antwerp,Eupen,1.25,6.2,10.0,1.04,3.85,1.11,08.10. 16:00,1.0,4.0,1.0
